# fleet-reader-rekey — the decision table (family contract in fixture.yaml; Goal #1640 acceptance 5).
# The `env` column carries the row's declared ROUTER STATE (`ROUTER_STATUS_JSON`, compact JSON — the
# psv delimiter is `|` and the env column is space-separated) or the unreadable-router condition
# (`CURL_RC=1`). The `world` column names the family-local strike world.
#
# id                  | world  | patch | env                                                                                                                              | expect              | params
provider-latch        | pair   |       | ROUTER_STATUS_JSON={"serving_classes":["auth-storm","provider-5xx","timeout","tool-loop"],"pair_cooldowns":[{"model":"deepseek/deepseek-v4-flash","provider":"open-inference","until":1788290000,"remaining_s":4400,"streak":1}],"generations_24h":[]} | provider-latch      |
model-nomination      | across |       |                                                                                                                                  | model-nomination    |
us-case-labels        | spread |       |                                                                                                                                  | us-case-labels      |
us-case-unknown       | unknown|       |                                                                                                                                  | us-case-unknown     |
us-case-pair          | pair   |       |                                                                                                                                  | us-case-pair        |
clean-retry-refutes   | pair   |       | ROUTER_STATUS_JSON={"serving_classes":["auth-storm","provider-5xx","timeout","tool-loop"],"pair_cooldowns":[],"generations_24h":[{"model":"deepseek/deepseek-v4-flash","provider":"open-inference","n":3,"cost_usd":0.01}]} | clean-retry-refutes |
router-unreadable     | pair   |       | CURL_RC=1                                                                                                                        | router-unreadable   |
key-class-excluded    | keyclass |     |                                                                                                                                  | key-class-excluded  |
#
# The fail-closed + mixed rows (homelab#1937, Goal #1640 acceptance 5). `serving-no-provider` is
# the residual input rule #6 did not cover: a serving-shaped class EVERY one of whose records has
# an empty provider column ⇒ skip the class, one ⛔ report line, no latch/nomination/agent/error.
# The two `mixed-*` rows pin that the guard fires ONLY on the all-empty input: with ≥1 resolved
# provider the same evaluation runs unchanged (the provider-latch cell, the model-provider count).
serving-no-provider   | noprovider |     |                                                                                                                                  | serving-no-provider | 
mixed-provider-latch  | mixed-provider | | ROUTER_STATUS_JSON={"serving_classes":["auth-storm","provider-5xx","timeout","tool-loop"],"pair_cooldowns":[{"model":"deepseek/deepseek-v4-flash","provider":"open-inference","until":1788290000,"remaining_s":4400,"streak":1}],"generations_24h":[]} | provider-latch      |
mixed-model-nomination| mixed-model | |                                                                                                                                  | mixed-model-nomination |
