# goal — the decision table (family contract in fixture.yaml; per-row intent below).
# id                      | world     | patch (relpath @ patches/*.jq)                   | env                    | expect
# validated               = the terminal base: goal closes `completed`, sweep is a REPORT line
# abandoned               = same tree, verdict ABANDONED: de-queued but OPEN, goal closed not-planned
# reverted                = same tree, verdict REVERTED: descendants CLOSE first, goal last, the
#                           Revert: pointer from the goal body is quoted verbatim
# assembly-complete       = pre-launch goal + a merged assembly PR (goal/** HEAD + Assembly-for:)
#                           → label goal/post-launch, comment, STAYS OPEN (no close)
# checkpoint-due          = pre-launch goal, findings store 6/1 → ONE goal-checkpoint unit
# nonassembly-merge-inert = pre-launch goal, a merged goal-CHILD's PR (goal/** BASE) → burn-down
#                           written + goal-checkpoint unit (trigger b: child-set complete pre-launch,
#                           post-launch bucket excluded from gopen_n_ckpt), GACTED <none>
#                           Still asserts: a merged goal-CHILD's PR produces NO per-closure unit
# base-master-pass       = task/goal + agent/queued, Base: master present → decompose unit emitted,
#                           no refusal (the choice being explicit is the point)
# base-required           = task/goal + agent/queued, NO Base: line → fail-closed refusal, no decompose
#                           unit; the refusal names both legal values and links the consumer card
#
# ── ADR-122 (1), 2026-09-05: FILING IS INERT — the bare-tree-member walk RETIRED ────────────────
# The three rows below pinned the walk (#1153 → PR#1242) and now pin its ABSENCE, positively. The
# walk queued every unlabelled native descendant of an open funded goal whose footprint classified
# machine/codeowner-merge; within one tick of landing it queued a v1.3 theme container (#1239) and
# both deliberate operator/seat legs of Goal #1231 (#1237/#1238) — #1249. ADR-122 (1) ruled the
# shape itself illegitimate: no reader queues an issue from its shape, and a tree member without
# `agent/queued` is the CONTAINER's to dispose (issue-authoring.md §lineage contract rule 9, S8).
#
# bare-members-inert      = the three shapes the walk switched on, in ONE world: machine-doable
#                           path (#301), operator-lane path (#302), no `Touches:` line (#304).
#                           Under ADR-122 the classification is irrelevant — all three are the
#                           same nothing — so the row shares the `checkpoint-due` template BY
#                           REFERENCE: the claim is that a world with three bare members emits a
#                           stream byte-identical to the world without them. Three rows → one.
# bare-member-counted-not-queued
#                         = the same machine-doable member (#301) AND an issue-list overlay that
#                           makes it a real OPEN descendant. The CONTAINER counts it: burn-down
#                           1 open / 2 closed of 3 → 2 open / 2 closed of 4 (store PATCHed),
#                           while nothing queues it. This is the POSITIVE half of the pin — a
#                           pure-absence contract cannot red on any base (workflow.md §"What the
#                           pin-vacuity gate proves").
#                           ⚠ CHANGED BY S8 original 2 (ADR-122 (4), homelab#1419). It used to
#                           pin "trigger (b) correctly stops firing", because the completion
#                           predicate counted EVERY open member — the #1315 shape that held G-G's
#                           assembly ~10.5h. The member is now UNDISPOSITIONED: the burn-down
#                           still counts it (2 open / 2 closed of 4 — unchanged, that half was
#                           always right), but it no longer counts toward `gopen_n_ckpt`, so (b)
#                           fires AND trigger (c) wakes the checkpoint to RULE it. The expected
#                           stream's `gck` therefore reads `findings 5 undispositioned +
#                           child-set complete pre-launch + members 1 undispositioned`.
#
# ── ADR-122 (4), homelab#1419: DISPOSITION IS THE CONTAINER'S — the four reader rows ───────────
# The store is one machine comment on the container (agents/epic_dispositions.py). These rows pin
# the goal lane's half: the completion predicate counts ADOPTED-OPEN members only, and an
# undispositioned member WAKES the checkpoint without ever blocking it.
#
# undispositioned-wakes   = trigger (c) ISOLATED. Same tree as bare-member-counted-not-queued
#                           (open inert member #301) but with a 6/6 findings store, so trigger
#                           (a) cannot fire and mask it: the unit's reason is exactly
#                           `child-set complete pre-launch + members 1 undispositioned`. The
#                           member does not count toward completion, which is why (b) still fires
#                           — the container is asked to RULE it, never to wait on it.
# deferred-excluded       = the same tree with `#301 deferred … by=checkpoint` in the store
#                           comment. A deferred member keeps its lineage and leaves scope: (b)
#                           fires, and there is NO `members … undispositioned` text. This is what
#                           #933's `post-launch:` title exception dissolves into.
# adopted-by-label        = the same member carrying `agent/queued` and no row. A lifecycle label
#                           means an authoring moment or a human already released it, so it reads
#                           ADOPTED-open with no backfill: the child set is NOT complete, so NO
#                           checkpoint unit is emitted at all (the burn-down still writes).
# dispositions-unreadable = the comments read FAILS (per-call injection). ⚠ The two stores are
#                           different markers on the SAME comments payload, so one injection
#                           fails BOTH reads — that is honest, not a fixture compromise: there is
#                           one API call. With an inert member present, trigger (c) stays SILENT
#                           (rule #6 — never wake a checkpoint off a blind read), one ⚠ line is
#                           printed, and `gopen_n_ckpt` falls back to the pre-PR plain
#                           open-non-bucket count (bot review, PR#1437 r3) rather than the
#                           disposition-filtered one — an unruled open member (#301) still counts
#                           as open on a blind read, so (b) does NOT fire from missing data alone
#                           (it fired here before the fix, which was itself the bug: a transient
#                           read failure fabricating a completion signal). NO checkpoint unit is
#                           emitted. The findings store reads 0/0 and its burn-down write is
#                           skipped, exactly as it already does on an unreadable comments fetch.
# two-goal-inert          = two open goals (#29, #123), bare member #303 under the SECOND. The
#                           lane still walks both goals (goal #123's assembly probe is the extra
#                           positive line) and neither queues #303. Was `two-goal-bare-member`,
#                           which pinned the walk's own newline-vs-substring goals match — code
#                           that no longer exists; the world stays because a multi-goal repo is
#                           where the #1249 misfires actually happened.
#
# ── homelab#1450: IL-T18 gains a SECOND KEY — tree-empty on a `Base: master` goal ──────────────
# Trigger (b) ("child-set complete pre-launch") is the operator's 2026-08-05 deadlock backstop and
# it had no retiring edge for a THEMED goal (ADR-126): the batching value lives in the level-2
# theme branches, so the goal has no assembly PR and deliberately no `Assembly-for:` trailer, the
# assembly-PR key can never fire, `gpl` stays 0 — and (b) re-summoned a reasoning session every
# tick from tree-empty until a human applied the verdict (13 rides on Goal #1162, 11 ruling
# nothing). The scan now writes the ADR-102 midpoint itself at that moment. The three rows below
# are the whole contract: it fires, it fires ONCE, and it does not touch the ordinary shape.
#
# master-goal-tree-empty  = `Base: master` + tree empty (children #30/#31 closed, bucket #77
#                           excluded, store 6/6 so trigger (a) cannot mask anything) → the label
#                           CALL then ONE comment CALL, in that order, and NO `goal-checkpoint`
#                           unit: the session that used to be summoned here is what this saves.
#                           `gh api …/sub_issues` resolves the bucket, so the audit comment names
#                           #77 exactly as the assembly-PR key's does — ONE writer, two keys.
#                           The `ERR LEGACY-GRAMMAR Base` line is the ADR-122 (3) migration meter,
#                           deliberately not suppressed: the Base read is the ONE parser
#                           (agents/issue_body.py), and this goal declares Base as a legacy line.
# master-goal-post-launch-quiet
#                         = THE SECOND RIDE, one tick later, on the state the row above produces:
#                           same goal, now wearing `goal/post-launch`. Everything goes quiet — no
#                           assembly probe (`gh pr list` is not even called), no label, no comment,
#                           no unit. This is the row #1450 asked for ("pin the second ride, not the
#                           first"): the defect was never that (b) fires, it is that nothing
#                           retired it. It passes on the pre-fix source BY CONSTRUCTION — that is
#                           the state the operator's hand-applied label already produced — so it is
#                           the regression guard for the fix, and the dir's vacuity comes from the
#                           two rows around it.
# goal-branch-tree-empty-unchanged
#                         = the CONTROL: the same tree-empty moment on an ORDINARY goal declaring
#                           `Base: goal/29-p0-slice`. Byte-identical to child-set-complete plus the
#                           legacy-grammar meter line — still a `goal-checkpoint` unit, no label,
#                           no comment. The assembly-PR key stays the only writer for that shape,
#                           and (b) stays its backstop.
bare-members-inert             | open-pre | openall.json @ patches/add-bare-members.jq        | IN_SLUG=teststuffstash/circles IN_REPO=circles | checkpoint-due
bare-member-counted-not-queued | open-pre | openall.json @ patches/add-bare-member-counted.jq | IN_SLUG=teststuffstash/circles IN_REPO=circles | bare-member-counted-not-queued
two-goal-inert                 | open-pre | openall.json @ patches/add-second-goal.jq         | IN_SLUG=teststuffstash/circles IN_REPO=circles | two-goal-inert
undispositioned-wakes          | open-pre | openall.json @ patches/add-bare-member-counted.jq | IN_SLUG=teststuffstash/circles IN_REPO=circles | undispositioned-wakes
deferred-excluded              | open-pre | openall.json @ patches/add-bare-member-counted.jq | IN_SLUG=teststuffstash/circles IN_REPO=circles | deferred-excluded
adopted-by-label               | open-pre | openall.json @ patches/add-member-queued.jq       | IN_SLUG=teststuffstash/circles IN_REPO=circles | adopted-by-label
dispositions-unreadable        | open-pre | openall.json @ patches/add-bare-member-counted.jq | IN_SLUG=teststuffstash/circles IN_REPO=circles STUB_GH_api_repos_teststuffstash_circles_issues_29_comments_per_page_100=fail | dispositions-unreadable
base-master-pass   | open-pre | openall.json @ patches/base-master-pass.jq | IN_SLUG=teststuffstash/circles IN_REPO=circles QCLASS=goal QNUM=301 QBASE_RAW=master QPIN=- | base-master-pass
base-required      | open-pre | openall.json @ patches/base-required.jq    | IN_SLUG=teststuffstash/circles IN_REPO=circles QCLASS=goal QNUM=300 QBASE_RAW=- QPIN=- | base-required
abandoned          | terminal | openall.json @ patches/verdict-abandoned.jq | IN_SLUG=teststuffstash/circles IN_REPO=circles | abandoned
assembly-complete  | open-pre |                                            | IN_SLUG=teststuffstash/circles IN_REPO=circles | assembly-complete
checkpoint-due     | open-pre |                                            | IN_SLUG=teststuffstash/circles IN_REPO=circles | checkpoint-due
child-set-complete | open-pre |                                            | IN_SLUG=teststuffstash/circles IN_REPO=circles | child-set-complete
nonassembly-merge-inert | open-pre |                                       | IN_SLUG=teststuffstash/circles IN_REPO=circles | nonassembly-merge-inert
reverted           | terminal | openall.json @ patches/verdict-reverted.jq | IN_SLUG=teststuffstash/circles IN_REPO=circles | reverted
validated          | terminal |                                            | IN_SLUG=teststuffstash/circles IN_REPO=circles | validated
master-goal-tree-empty          | open-pre | openall.json @ patches/base-master-tree-empty.jq      | IN_SLUG=teststuffstash/circles IN_REPO=circles | master-goal-tree-empty
master-goal-post-launch-quiet   | open-pre | openall.json @ patches/base-master-post-launch.jq     | IN_SLUG=teststuffstash/circles IN_REPO=circles | master-goal-post-launch-quiet
goal-branch-tree-empty-unchanged | open-pre | openall.json @ patches/base-goal-branch-tree-empty.jq | IN_SLUG=teststuffstash/circles IN_REPO=circles | goal-branch-tree-empty-unchanged
