# c4c5-ambig-decidable — the decision table (family contract in fixture.yaml; per-row intent below).
# id               | world           | patch | env | expect
# strike-resumable  = #329 has AGENT_STRIKE: + Resumable branch pushed: → decidable: emits C4/C5
#                     unit with work-branch; #330 beside it keeps its ordinary v2 + unit
# no-strike         = #329 has NO AGENT_STRIKE: comment → held as today; #330 keeps its v2 + unit
# block-class-wins  = the SAME strike-resumable world, with #330's body carrying a machine block
#                     `Class: build`: the block WINS over the `task/*` label in the C4/C5 class
#                     derivation (ADR-122 (3), homelab#1460), so its unit re-dispatches as `build`
strike-resumable | strike-resumable |       |      | strike-resumable
no-strike        | no-strike        |       |      | no-strike
block-class-wins | strike-resumable |       |      | block-class-wins
# block-class-malformed = the SAME strike-resumable world, with #329's (the decidable goal child's) body
#                     carrying a block the parser REFUSES (`Nope: x`): the resumable path HOLDS — no
#                     unit, a ⛔ orphan line, a strike-held class row (rule #6; PR#1503's review found
#                     this sibling loop dispatching on the label instead). #330 keeps its ordinary unit.
block-class-malformed | strike-resumable |       |      | block-class-malformed
# strike-resumable-markdown = the SAME strike-resumable world, but #329's comment carries the
#                     finalizer's LIVE markdown shape: `**Resumable branch pushed:** \`<branch>\``
#                     + trailing prose. The extraction must anchor the match, strip the backticks
#                     and cut at the first whitespace — the bare branch name and nothing else
#                     (the pre-fix `sub(".*Resumable branch pushed:[ \t]*"; "")` was greedy up to
#                     the opening `**`, so the value was `** \`agent/<branch>\` — …` and word-split
#                     in the dispatch loop: the #1780 dispatch arrived carrying `work-branch=**`).
#                     Same expected stream as strike-resumable: the markdown is not the value.
strike-resumable-markdown | strike-resumable-markdown |       |      | strike-resumable
# strike-no-resumable = the SAME world, but #329's AGENT_STRIKE comment carries NO
#                     `Resumable branch pushed:` line at all: the extraction yields an EMPTY
#                     work-branch (no partial match, no `**`) and the issue is held as today.
strike-no-resumable | strike-no-resumable |       |      | no-strike
